altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,0,1,Chicago,1674190372690995872,True,False,Chicago,2022-09-06 12:32:56,41.788263,Chicago,-87.703576,60602,Chicago,Chicago,Public Rack - Kedzie Ave & 58th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1674190175122499894,True,False,Chicago,2022-09-06 11:48:12,41.889161,Chicago,-87.765738,60602,Chicago,Chicago,Public Rack - Austin Branch Chicago Public Library,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1674190329741322836,True,False,Chicago,2022-09-06 12:31:14,41.807749,Chicago,-87.722579,60602,Chicago,Chicago,Public Rack - Harding Ave & 47th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1674190608914197536,True,False,Chicago,2022-09-06 19:58:46,41.691411,Chicago,-87.70229,60602,Chicago,Chicago,Public Rack - Sawyer Ave & 111th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1695780087377656306,True,False,Chicago,2022-09-06 13:30:53,41.931803,Chicago,-87.737285,60602,Chicago,Chicago,Public Rack - Kostner Ave & Diversey Ave,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,9,Chicago,1594046405283107528,True,False,Chicago,2022-10-20 11:46:46,41.859228,Chicago,-87.695562,60602,Chicago,Chicago,California & 16th St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,2,Chicago,1674190196597336410,True,False,Chicago,2022-09-06 11:51:26,41.721188,Chicago,-87.678786,60602,Chicago,Chicago,Public Rack - Bell Ave & 95th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,1,8,Chicago,1563698675436490730,True,False,Chicago,2022-10-20 11:46:44,41.927294,Chicago,-87.7852027,60602,Chicago,Chicago,Narragansett & Wrightwood,IN_SERVICE,1,IN_SERVICE,False,9
0.0,3,6,Chicago,1594046439642845944,True,False,Chicago,2022-10-20 11:46:39,41.972177,Chicago,-87.702749,60602,Chicago,Chicago,N Shore Channel Trail & Argyle St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,4,5,Chicago,1582242323927553620,True,False,Chicago,2022-10-20 11:46:40,41.789944,Chicago,-87.703233,60602,Chicago,Chicago,Kedzie Ave & 57th St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,1,Chicago,1674190574554459116,True,False,Chicago,2022-09-06 19:51:35,41.797244,Chicago,-87.723377,60602,Chicago,Chicago,Public Rack - Pulaski & 52nd,IN_SERVICE,1,IN_SERVICE,False,1
0.0,1,0,Chicago,1715823782490135060,True,False,Chicago,2022-09-06 13:13:42,41.720634,Chicago,-87.53517,60602,Chicago,Chicago,Public Rack - Ewing Ave & 96th St S,IN_SERVICE,1,IN_SERVICE,False,1
0.0,2,0,Chicago,1674190256726878658,True,False,Chicago,2022-09-06 16:20:57,41.935779,Chicago,-87.746581,60602,Chicago,Chicago,Public Rack - Cicero Ave & Wellington Ave,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1674190166532565276,True,False,Chicago,2022-09-06 16:09:49,41.76577,Chicago,-87.66433,60602,Chicago,Chicago,Public Rack - Ashland Ave & 71st St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1715846713038684536,True,False,Chicago,2022-09-06 13:41:23,41.844265,Chicago,-87.728103,60602,Chicago,Chicago,Public Rack - Kedvale Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1674190643273935970,True,False,Chicago,2022-09-06 20:12:35,41.712937,Chicago,-87.653984,60602,Chicago,Chicago,Public Rack - Vincennes Ave & 99th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,4,4,Chicago,1582242293862782512,True,False,Chicago,2022-10-20 11:46:41,41.813617,Chicago,-87.6932272,60602,Chicago,Chicago,Fairfield Ave & 44th St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,2,7,Chicago,1593766338948359064,True,False,Chicago,2022-10-20 11:46:41,41.793357,Chicago,-87.730598,60602,Chicago,Chicago,Kildare Ave & 55th St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,1,2,Chicago,1674190694813543600,True,False,Chicago,2022-09-06 19:51:11,41.841655,Chicago,-87.734366,60602,Chicago,Chicago,Public Rack - Zapata Academy,IN_SERVICE,1,IN_SERVICE,False,3
0.0,0,1,Chicago,1674190157942630668,True,False,Chicago,2022-09-06 11:45:12,41.691669,Chicago,-87.698507,60602,Chicago,Chicago,Public Rack - Albany Ave & 111th St - NW,IN_SERVICE,1,IN_SERVICE,False,1
0.0,1,0,Chicago,1683527948705025018,True,False,Chicago,2022-09-06 19:27:18,41.758905,Chicago,-87.562188,60602,Chicago,Chicago,Public Rack - Kingston Ave & 75th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,0,Chicago,1715823826949039076,True,False,Chicago,2022-09-06 13:36:58,41.794639,Chicago,-87.703767,60602,Chicago,Chicago,Public Rack - Kedzie Ave & 54th Pl,IN_SERVICE,1,IN_SERVICE,False,1
0.0,1,0,Chicago,1677249849598941296,True,False,Chicago,2022-09-06 12:15:23,41.692458,Chicago,-87.674035,60602,Chicago,Chicago,Public Rack - Hoyne Ave & 110th Pl,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,3,Chicago,1674190321151388220,True,False,Chicago,2022-09-06 12:19:38,41.721004,Chicago,-87.643031,60602,Chicago,Chicago,Public Rack - Halsted St & 95th St - SE,IN_SERVICE,1,IN_SERVICE,False,3
0.0,0,9,Chicago,1594046461117682452,True,False,Chicago,2022-10-20 11:46:44,41.99066,Chicago,-87.697075,60602,Chicago,Chicago,Washtenaw Ave & Peterson Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,2,0,Chicago,1715846713038684540,True,False,Chicago,2022-09-06 13:41:29,41.844168,Chicago,-87.726317,60602,Chicago,Chicago,Public Rack - Komensky Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,1,1,Chicago,1674190664748772492,True,False,Chicago,2022-09-06 20:07:23,41.702609,Chicago,-87.681492,60602,Chicago,Chicago,Public Rack - Western Ave & 105th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1695777008480252434,True,False,Chicago,2022-09-06 19:36:36,41.772068,Chicago,-87.621686,60602,Chicago,Chicago,Public Rack - Michigan Ave & 67th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1674190419935636184,True,False,Chicago,2022-09-06 12:48:34,41.743616,Chicago,-87.61457,60602,Chicago,Chicago,Public Rack - King Dr & 83rd St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1683527959350687758,True,False,Chicago,2022-09-06 19:45:02,41.766206,Chicago,-87.562789,60602,Chicago,Chicago,Public Rack - South Shore Dr & 71st St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1715823805474202572,True,False,Chicago,2022-09-06 13:34:54,41.785235,Chicago,-87.703131,60602,Chicago,Chicago,Public Rack - Kedzie Ave & 60th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1674190510129949562,True,False,Chicago,2022-09-06 12:43:05,41.706657,Chicago,-87.647476,60602,Chicago,Chicago,Public Rack - Morgan St & 103rd St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1677249789469399070,True,False,Chicago,2022-09-06 16:26:30,41.909614,Chicago,-87.734722,60602,Chicago,Chicago,Public Rack - Grand Ave & North Ave,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1683527937875852272,True,False,Chicago,2022-09-06 16:30:38,41.74927751,Chicago,-87.57585394,60602,Chicago,Chicago,Public Rack - Jeffery Blvd & 81st St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,1,8,Chicago,1571105063705518104,True,False,Chicago,2022-10-20 11:46:46,41.9488531,Chicago,-87.806938,60602,Chicago,Chicago,Harlem Ave & Grace St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,1,Chicago,1674190467180276530,True,False,Chicago,2022-09-06 12:37:39,41.702557,Chicago,-87.542728,60602,Chicago,Chicago,Public Rack - Mackinaw Ave & 106th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1695776941114034252,True,False,Chicago,2022-09-06 19:42:29,41.8703637,Chicago,-87.7252556,60602,Chicago,Chicago,Public Rack - Pulaski Rd & Polk St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,3,6,Chicago,1575949506683597522,True,False,Chicago,2022-10-20 11:46:42,41.9125923,Chicago,-87.7686995,60602,Chicago,Chicago,Major Ave & Bloomingdale Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,2,0,Chicago,1674190243841976756,True,False,Chicago,2022-09-06 16:20:24,41.925734,Chicago,-87.746414,60602,Chicago,Chicago,Public Rack - Cicero Ave & Altgeld St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,2,0,Chicago,1674190501540014956,True,False,Chicago,2022-09-06 19:36:47,41.94651,Chicago,-87.735721,60602,Chicago,Chicago,Public Rack - Milwaukee Ave & Addison St,IN_SERVICE,1,IN_SERVICE,False,3
